record,age,sex,grade,race4,qn16,qn17,qn19,qn20,qn21,qn24,qn25,qn27,qn28,qn29,qn30,qn33,qn37,qn43,qn45,qn47,qn50,qn51,qn52,qn53,qn54,qn55,qn56,qn57
1115993,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1115994,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,2,1,2,2,1,1,2,2,2
1115995,4,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115996,4,2,2,NA,2,2,2,1,2,1,2,2,2,NA,NA,2,2,NA,2,2,2,2,2,2,2,2,2,2
1115997,4,2,1,2,2,2,2,2,1,2,1,1,2,2,2,NA,NA,2,2,2,2,2,1,2,2,2,2,2
1115998,4,2,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1115999,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116000,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116001,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116002,4,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2
1116003,4,2,2,3,2,2,2,2,1,2,2,2,2,NA,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116004,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
1116005,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116006,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116007,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116008,4,2,2,3,1,2,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1116009,4,2,1,3,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2
1116010,4,2,1,3,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,1,1,1,2,1,1,2
1116011,4,2,NA,3,2,2,2,2,2,NA,2,2,2,NA,NA,2,2,1,2,1,1,1,1,2,2,2,2,2
1116012,4,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116013,4,2,1,3,2,2,2,1,2,2,2,2,2,NA,NA,2,2,NA,NA,1,1,2,2,2,2,2,2,2
1116014,4,2,2,3,1,2,1,2,2,2,2,2,2,2,2,1,2,NA,NA,1,2,2,2,2,1,2,1,2
1116015,4,2,1,3,2,2,2,1,2,1,1,2,2,2,2,2,2,NA,NA,1,2,1,2,2,2,2,2,2
1116016,4,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116017,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116018,4,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2
1116019,4,2,1,3,2,1,1,1,1,1,1,1,1,1,2,NA,2,NA,2,1,1,1,1,2,1,1,2,2
1116020,4,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,2,2,2
1116021,4,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116022,4,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116023,4,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116024,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116025,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116026,4,2,2,4,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,1,2,2,2,2,2,1,2,1
1116027,4,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116028,4,2,1,2,1,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116029,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116030,4,2,1,2,2,2,2,1,2,2,2,2,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1116031,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,1,2,2,2,2,2,2,1,2
1116032,4,2,1,3,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116033,4,2,NA,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2
1116034,4,2,2,2,1,2,2,2,2,2,2,2,1,NA,NA,2,2,2,2,1,2,2,2,2,2,2,2,2
1116035,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116036,4,2,2,3,2,1,NA,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,2
1116037,4,2,1,3,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116038,4,2,2,2,2,2,2,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116039,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116040,4,2,2,3,2,2,2,2,2,2,2,NA,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116041,4,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116042,4,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,NA,NA,1,2,2,2,2,2,2,2,2
1116043,4,2,1,3,2,2,2,2,1,2,2,2,2,2,2,2,2,NA,NA,1,2,2,2,2,2,2,2,2
1116044,4,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116045,4,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,1,2,2,2,2,2,2,2,2
1116046,4,2,1,3,2,2,2,2,2,2,2,2,2,NA,NA,2,2,1,1,1,2,2,2,2,2,2,2,2
1116047,4,2,1,3,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116048,4,2,2,3,2,2,2,2,2,2,2,2,2,NA,NA,1,1,2,2,2,2,2,2,2,2,2,2,2
1116049,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116050,4,2,1,3,2,2,2,1,2,2,2,1,1,2,2,NA,1,1,2,1,2,2,2,2,1,2,2,1
1116051,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116052,4,2,1,3,2,2,2,1,2,2,2,2,1,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116053,4,2,1,3,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,1,2
1116054,4,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116055,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116056,4,2,1,2,NA,2,2,2,2,2,2,2,2,2,2,NA,1,1,2,1,1,2,1,2,2,2,2,2
1116057,4,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,NA,2,2,2,2,2,2,2,2
1116058,4,2,2,3,2,2,2,2,2,1,2,1,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2
1116059,4,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,1,2,2,1,1,2,1,2
1116060,4,2,2,3,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116061,4,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116062,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116063,4,2,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116064,4,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116065,4,2,2,3,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116066,4,2,1,3,2,2,2,2,2,2,2,2,2,NA,NA,2,2,NA,NA,1,2,2,2,2,2,2,2,2
1116067,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2
1116068,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116069,5,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116070,5,2,2,NA,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,1,2,2,2,2,2,2,2,2
1116071,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1116072,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116073,5,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116074,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116075,5,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
1116076,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1116077,5,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116078,5,2,3,1,2,2,2,2,2,2,2,2,2,NA,NA,2,NA,2,2,2,2,2,2,2,2,2,2,2
1116079,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116080,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116081,5,2,2,3,2,2,1,1,1,2,2,2,2,2,2,NA,2,2,2,1,1,1,2,2,2,2,2,2
1116082,5,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116083,5,2,2,3,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2
1116084,5,2,3,3,2,2,2,2,2,2,2,2,2,NA,NA,2,NA,2,2,2,2,2,2,2,2,2,2,2
1116085,5,2,2,1,1,2,1,1,2,2,2,2,2,NA,NA,1,1,1,2,1,2,2,2,2,1,2,1,2
1116086,5,2,2,NA,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,2
1116087,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116088,5,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116089,5,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116090,5,2,3,2,2,1,2,2,2,2,2,2,2,NA,NA,2,2,2,2,1,2,1,2,2,2,2,1,2
1116091,5,2,2,4,2,2,2,2,2,2,2,2,2,NA,NA,2,2,NA,NA,1,2,2,2,2,1,2,2,2
1116092,5,2,2,2,NA,2,2,2,2,2,2,2,2,NA,NA,2,2,NA,2,1,2,2,2,2,2,2,2,2
1116093,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,NA,2,NA,NA,1,2,2,2,2,2,2,2,2
1116094,5,2,2,3,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
1116095,5,2,2,3,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,1,2,2,2,2,2,2,2,2
1116096,5,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116097,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116098,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116099,5,2,3,2,2,2,2,2,2,2,2,2,2,NA,NA,2,2,2,2,1,2,2,2,2,2,2,2,2
1116100,5,2,3,3,2,2,1,1,2,2,2,2,2,NA,NA,2,2,2,2,1,1,1,1,1,1,2,1,1
1116101,5,2,2,3,2,1,1,1,2,1,2,1,1,1,2,NA,2,1,2,1,2,2,2,2,2,2,2,2
1116102,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116103,5,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2
1116104,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
1116105,5,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116106,5,2,2,3,2,1,2,2,2,2,2,2,2,2,2,NA,2,1,2,1,1,2,2,2,2,2,2,2
1116107,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1116108,5,2,3,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
1116109,5,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2
1116110,5,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2
